,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
4,76993.0,https://www.airbnb.com/rooms/76993,20240900000000.0,17/09/2024,city scrape,"Central Cebollitas B&B, spacious private ensuite.","A bright, sunny home in vomero area (on a hill of napoli) with very easy access to city centre by metro line 1 (10-15 minutes). Easy to get from airport , alibus+metro line1 (50 minutes depending on traffic ) or from central station,metro line 1 (15 minutes) stop QUATTRO GIORNATE is just outside the building . The area is plenty of bars and typical restaurants . Short walking distance to pubs , shops, take-away food. Excellent pizza and  supermarket just in front of the building.","La casa di Cebollitas si trova a Napoli, Campania, Italia.<br /><br />It's a safe and friendly neighbourhood, on the hill of Napoli town.<br />Metro line 1 is literally one step from the building ,allow you to quickly reach the major points of interest in town: the Royal Palace, Castel Nuovo, Castel dell'Ovo, the MANN museum, the Duomo, the Teatro San Carlo, San Gregorio Armeno, San Severo Chapel, Church of Santa Chiara.<br />Certosa di San Martino and the Castel Sant 'Elmo are within walking distance.<br />You can also easily reach the promenade, the ferries to the islands i and the main station for connections to Pompeii, Sorrento and Amalfi.<br />The airport is only 15 minutes by car (depending on traffic)  and 50 minutes by public transport depending on the connections",https://a0.muscache.com/pictures/miso/Hosting-76993/original/ec00a314-929c-4ec6-9e8e-0fdce22e253c.jpeg,411650,https://www.airbnb.com/users/show/411650,Cebollitas,26/02/2011,"Naples, Italy","Cebollitas is a homely modern b&b  situated in the heart of Vomero hill, well connected to the Historical Centre by the subway line 1 and the famous ""funicolari"".
Our apartment is quiet and comfortable. Freedom and flexibility during your holiday! at the same time, we will be happy to give you informations, advices and whatever help you may need !!! ",within an hour,100%,98%,t,https://a0.muscache.com/im/pictures/user/111146d8-7908-4ebd-9e29-58572681a31c.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/111146d8-7908-4ebd-9e29-58572681a31c.jpg?aki_policy=profile_x_medium,,4,4,"['email', 'phone']",t,t,"Naples, Campania, Italy",Vomero,,40.84568,14.22618,Private room in condo,Private room,4,1.0,1 private bath,1.0,2.0,"[""Hot water"", ""Essentials"", ""Elevator"", ""Coffee maker"", ""Dedicated workspace"", ""Iron"", ""Extra pillows and blankets"", ""Cleaning products"", ""Freezer"", ""Lock on bedroom door"", ""Breakfast"", ""Bidet"", ""Body soap"", ""Clothing storage"", ""Heating"", ""Room-darkening shades"", ""Portable fans"", ""Dishes and silverware"", ""Hot water kettle"", ""Hair dryer"", ""Dishwasher"", ""Baking sheet"", ""Shampoo"", ""Hangers"", ""Private patio or balcony"", ""Wifi"", ""Refrigerator"", ""Air conditioning"", ""Bed linens"", ""Courtyard view"", ""Bathtub"", ""TV"", ""Shower gel"", ""Paid parking off premises"", ""Single level home"", ""Crib"", ""Coffee""]",$60.00,3,30,2,3,1125,1125,3.0,1125.0,,t,11,30,48,301,17/09/2024,63,31,3,20/10/2014,31/08/2024,4.97,4.9,4.94,4.9,4.98,4.92,4.94,,f,4,1,3,0,0.52
5,77009.0,https://www.airbnb.com/rooms/77009,20240900000000.0,17/09/2024,city scrape,"Central Cebollitas B&B Napoli,single/double room",,"La casa di Cebollitas si trova a Napoli, Campania, Italia.<br /><br />It's a safe and friendly neighbourhood, on the hill of Napoli town.<br />Metro line 1 is literally one step from the building , will allow you to quickly reach the major points of interest in town: the Royal Palace, Castel Nuovo, Castel dell'Ovo, the National Archaeological Museum, the Duomo, the Teatro San Carlo, San Gregorio Armeno, San Severo Chapel, Church of Santa Chiara.<br />Certosa di San Martino and the Castel Sant 'Elmo are within walking distance.<br />You can also easily reach the promenade, the ferries to the islands of Capri, Ischia and Procida and the main station for connections to Pompeii, Sorrento and Amalfi.<br />The airport is only 15 minutes by car and 40/50 minutes by public transport",https://a0.muscache.com/pictures/airflow/Hosting-77009/original/14eef406-ff39-4f60-9046-1d700b2cdb1a.jpg,411650,https://www.airbnb.com/users/show/411650,Cebollitas,26/02/2011,"Naples, Italy","Cebollitas is a homely modern b&b  situated in the heart of Vomero hill, well connected to the Historical Centre by the subway line 1 and the famous ""funicolari"".
Our apartment is quiet and comfortable. Freedom and flexibility during your holiday! at the same time, we will be happy to give you informations, advices and whatever help you may need !!! ",within an hour,100%,98%,t,https://a0.muscache.com/im/pictures/user/111146d8-7908-4ebd-9e29-58572681a31c.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/111146d8-7908-4ebd-9e29-58572681a31c.jpg?aki_policy=profile_x_medium,,4,4,"['email', 'phone']",t,t,"Naples, Campania, Italy",Vomero,,40.84568,14.22618,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Hot water"", ""City skyline view"", ""Essentials"", ""Elevator"", ""Coffee maker"", ""Ceiling fan"", ""Dedicated workspace"", ""Iron"", ""Cleaning products"", ""Freezer"", ""Breakfast"", ""Heating"", ""Room-darkening shades"", ""Dishes and silverware"", ""Hot water kettle"", ""Hair dryer"", ""Dishwasher"", ""Host greets you"", ""Baking sheet"", ""Shampoo"", ""Hangers"", ""Wifi"", ""Refrigerator"", ""TV"", ""Paid parking off premises"", ""Books and reading material"", ""Crib"", ""Coffee""]",$42.00,3,60,2,3,1125,1125,3.0,1125.0,,t,6,28,58,315,17/09/2024,195,45,3,15/07/2011,02/09/2024,4.89,4.92,4.94,4.94,4.96,4.85,4.87,,f,4,1,3,0,1.22
6,77010.0,https://www.airbnb.com/rooms/77010,20240900000000.0,17/09/2024,city scrape,"central Cebollitas B&B , large single/double","A bright, sunny home in vomero area (on a hill of napoli) with very easy  access to city centre by metro line 1 (10-15 minutes). Easy to get  from airport , alibus+metro line1 (45 minutes depending on traffic ) or from central station,metro line 1 (15 minutes) stop is just outside the building, called QUATTRO GIORNATE . Local area is plenty of  bars and typical restaurants . Short walking distance to pubs , shops, take-away food. Excellent pizza and  a supermarket just in front of the building.","It's a safe and friendly neighbourhood, on the hill of Napoli.<br />Metro line 1 is literally one step from the building , allow you to quickly reach the major points of interest in town: the Royal Palace, Castel Nuovo, Castel dell'Ovo, MANN Museum,  Duomo,  Teatro San Carlo, San Gregorio Armeno, San Severo Chapel, Church of Santa Chiara.<br />Certosa di San Martino and  Castel Sant 'Elmo are within walking distance.<br />You can also easily reach the promenade, the ferries to the islands and  main station for connections to Pompeii, Sorrento and Amalfi.<br />The airport is only 15 minutes by car (depending on traffic) and 50 minutes by public transport (depending on connections)",https://a0.muscache.com/pictures/airflow/Hosting-77010/original/15448e9e-05d9-41aa-9030-000dd6660a0d.jpg,411650,https://www.airbnb.com/users/show/411650,Cebollitas,26/02/2011,"Naples, Italy","Cebollitas is a homely modern b&b  situated in the heart of Vomero hill, well connected to the Historical Centre by the subway line 1 and the famous ""funicolari"".
Our apartment is quiet and comfortable. Freedom and flexibility during your holiday! at the same time, we will be happy to give you informations, advices and whatever help you may need !!! ",within an hour,100%,98%,t,https://a0.muscache.com/im/pictures/user/111146d8-7908-4ebd-9e29-58572681a31c.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/111146d8-7908-4ebd-9e29-58572681a31c.jpg?aki_policy=profile_x_medium,,4,4,"['email', 'phone']",t,t,"Naples, Campania, Italy",Vomero,,40.84568,14.22618,Private room in condo,Private room,2,1.0,1 shared bath,1.0,2.0,"[""Hot water"", ""City skyline view"", ""Essentials"", ""Elevator"", ""Coffee maker"", ""Dedicated workspace"", ""Drying rack for clothing"", ""Iron"", ""Extra pillows and blankets"", ""Cleaning products"", ""Freezer"", ""Breakfast"", ""Heating"", ""Room-darkening shades"", ""Portable fans"", ""Dishes and silverware"", ""Hot water kettle"", ""Paid parking garage off premises"", ""Hair dryer"", ""Dishwasher"", ""Host greets you"", ""Baking sheet"", ""Shampoo"", ""Hangers"", ""Wifi"", ""Refrigerator"", ""Bed linens"", ""TV"", ""Single level home"", ""Books and reading material"", ""Crib"", ""Coffee""]",$42.00,3,30,1,3,1125,1125,3.0,1125.0,,t,3,26,56,313,17/09/2024,129,29,3,21/08/2014,31/08/2024,4.81,4.87,4.92,4.94,4.92,4.86,4.85,,f,4,1,3,0,1.05
12,1109523.0,https://www.airbnb.com/rooms/1109523,20240900000000.0,17/09/2024,city scrape,Comfortable room - heart of Naples,"A cozy, nicely decorated room in the very heart of Naples. Enjoy your stay!",The apartment is in the central area of Naples.,https://a0.muscache.com/pictures/miso/Hosting-1109523/original/675808d9-b145-4e53-89ab-c74c0c9b934a.jpeg,2193590,https://www.airbnb.com/users/show/2193590,Adelaide,22/04/2012,"Naples, Italy","Napoletano, energico, di buona cultura, con molti interessi e una grande passione per le lingue e i viaggi. Lavoro come guida turistica, quindi posso aiutare i miei ospiti con consigli, suggerimenti e raccomandazioni per Napoli e dintorni.
",within an hour,100%,100%,,https://a0.muscache.com/im/pictures/user/User-2193590/original/a191f3af-e1d0-4267-9bcb-5f1d23da49b6.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-2193590/original/a191f3af-e1d0-4267-9bcb-5f1d23da49b6.jpeg?aki_policy=profile_x_medium,,2,7,['phone'],t,t,"Naples, Campania, Italy",San Lorenzo,,40.85163498,14.2559166,Private room in bed and breakfast,Private room,3,1.0,1 private bath,1.0,2.0,"[""Hot water"", ""City skyline view"", ""Essentials"", ""Elevator"", ""Washer"", ""Cleaning products"", ""Lock on bedroom door"", ""Breakfast"", ""Body soap"", ""Heating"", ""Piano"", ""Clothing storage: closet"", ""Dishes and silverware"", ""Window guards"", ""Microwave"", ""Hair dryer"", ""Luggage dropoff allowed"", ""Host greets you"", ""Shampoo"", ""Hangers"", ""Wifi"", ""Refrigerator"", ""Air conditioning"", ""Harbor view"", ""Courtyard view"", ""Bed linens"", ""Shared patio or balcony"", ""Coffee"", ""Outdoor furniture"", ""Dining table"", ""Shower gel"", ""Toaster"", ""Books and reading material"", ""Hot water kettle"", ""Coffee maker: pour-over coffee""]",$90.00,3,15,3,3,1125,1125,3.0,1125.0,,t,29,59,89,89,17/09/2024,189,13,0,02/08/2013,16/06/2024,4.83,4.81,4.84,4.77,4.85,4.95,4.71,,t,1,0,1,0,1.39
3153,44333416.0,https://www.airbnb.com/rooms/44333416,20240900000000.0,17/09/2024,city scrape,Cebollitas central nice and modern apartment,"A bright, sunny home in vomero area with easy access to city centre ,  airport or central station , metro line 1 is just outside the building . <br />Make yourself at home in a spacious apartment with 3 rooms, 2 complete bathrooms and one big kitchen . You will be provided with tea, coffee, and breakfast. <br />A late check-in is possible upon request and co-host availability.Early checkout is always possible. <br />My apartment is on the 2nd floor and there is a lift .","Casa Cebollitas is located in the hearth of vomero . <br />It's a safe and friendly neighbourhood, on the hill of Napoli .<br />Vomero is very alive and frequented area. Our position makes guests happy. The apartment is perfectly connected to the city by metro line 1,  literally  one step from the entrance of the building. The area is plenty of shops, caf̩, typical restaurant, pubs, cinemas and theatres. <br />There is a vegetable market 2 minutes walking.  In the same market you will find butcheries and fisheries . A carrefour super is in front of the building and an excellent pizzeria too!<br />Taking Metro line 1 you will quickly reach the major points of interest in town: the Royal Palace, Castel Nuovo, Castel dell'Ovo, the National Archaeological Museum, the Duomo, the Teatro San Carlo, San Gregorio Armeno, San Severo Chapel, Church of Santa Chiara.<br />Certosa di San Martino and the Castel Sant 'Elmo are within walking distance.<br />You can also easily reach the promenade, the ",https://a0.muscache.com/pictures/9104086/7f4710c1_original.jpg,411650,https://www.airbnb.com/users/show/411650,Cebollitas,26/02/2011,"Naples, Italy","Cebollitas is a homely modern b&b  situated in the heart of Vomero hill, well connected to the Historical Centre by the subway line 1 and the famous ""funicolari"".
Our apartment is quiet and comfortable. Freedom and flexibility during your holiday! at the same time, we will be happy to give you informations, advices and whatever help you may need !!! ",within an hour,100%,98%,t,https://a0.muscache.com/im/pictures/user/111146d8-7908-4ebd-9e29-58572681a31c.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/111146d8-7908-4ebd-9e29-58572681a31c.jpg?aki_policy=profile_x_medium,,4,4,"['email', 'phone']",t,t,"Napoli, Campania, Italy",Vomero,,40.84641,14.22591,Entire condo,Entire home/apt,8,2.0,2 baths,3.0,6.0,"[""Hot water"", ""City skyline view"", ""Kitchen"", ""Essentials"", ""Elevator"", ""Coffee maker"", ""Ceiling fan"", ""Cooking basics"", ""Dedicated workspace"", ""Iron"", ""Extra pillows and blankets"", ""Cleaning products"", ""Freezer"", ""Bidet"", ""HDTV"", ""Body soap"", ""Clothing storage"", ""Heating"", ""Room-darkening shades"", ""Garden view"", ""Dishes and silverware"", ""Cleaning available during stay"", ""Hot water kettle"", ""Private entrance"", ""Paid parking garage off premises"", ""Hair dryer"", ""Dishwasher"", ""Host greets you"", ""Baking sheet"", ""Shampoo"", ""Hangers"", ""Private patio or balcony"", ""Wifi"", ""Refrigerator"", ""Air conditioning"", ""Bed linens"", ""Courtyard view"", ""Bathtub"", ""Free washer"", ""Single level home"", ""Oven"", ""Crib"", ""Coffee"", ""Shared backyard \u2013 Fully fenced""]",$229.00,3,30,3,3,1125,1125,3.0,1125.0,,t,0,15,29,300,17/09/2024,6,2,0,04/01/2022,26/06/2024,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,4,1,3,0,0.18
3382,48050226.0,https://www.airbnb.com/rooms/48050226,20240900000000.0,17/09/2024,city scrape,CASA MARTINO FORMALE,"On the first floor of one of the characteristic buildings of the Historic Centre of Naples is NapoliMartino, a comfortable studio apartment equipped with the best services to offer its guests the opportunity to experience the City of Naples starting from one of its most fascinating areas. Among colourful alleys you can discover history, culture, traditions and the inevitable good food that will take the Guest on a unique and fascinating sensory journey.",,https://a0.muscache.com/pictures/23afcdbb-7022-48d2-9cb3-d343b97cdb1d.jpg,65322455,https://www.airbnb.com/users/show/65322455,Achille,01/04/2016,"Campania, Italy","Ciao, 
sono Achille e sono pronto ad ospitarti nella mia casa e aiutarti a scoprire le meraviglie della mia Napoli .",within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/c44197f7-adf3-4608-a91f-473f47333a38.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/c44197f7-adf3-4608-a91f-473f47333a38.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,,Montecalvario,,40.84519,14.2478,Entire condo,Entire home/apt,2,1.0,1 bath,0.0,1.0,"[""Hot water"", ""City skyline view"", ""Kitchen"", ""Essentials"", ""Coffee maker"", ""30 inch HDTV with Netflix"", ""Self check-in"", ""Cooking basics"", ""Dedicated workspace"", ""Iron"", ""Extra pillows and blankets"", ""Freezer"", ""Heating"", ""Dishes and silverware"", ""Central air conditioning"", ""Private entrance"", ""Paid parking garage off premises"", ""Microwave"", ""Hair dryer"", ""Beach essentials"", ""Shampoo"", ""Hangers"", ""Wifi"", ""Refrigerator"", ""Pets allowed"", ""Dining table"", ""Window AC unit"", ""First aid kit"", ""Oven"", ""Building staff""]",$103.00,2,1125,2,2,1125,1125,2.0,1125.0,,t,0,13,41,316,17/09/2024,15,3,2,14/02/2021,09/09/2024,4.8,4.8,4.93,4.73,4.87,4.8,4.73,,t,1,1,0,0,0.34
4314,5.77363e+17,https://www.airbnb.com/rooms/577362728886507413,20240900000000.0,17/09/2024,city scrape,Bed and Breakfast Casa Rubino,"Casa Rubino is located in an exclusive location, a few meters from Piazza Carlo III, the eastern door of the historic center of Naples, and is very close to the most important tourist attractions of the city. A few steps from Casa Rubino is the taxi parking lot (in Piazza Carlo III) and the stops of the new Metro Line 1 Garibaldi and Museum. For those who come by car, there is the possibility to park it  in the Garage just below the B&B.",,https://a0.muscache.com/pictures/miso/Hosting-577362728886507413/original/3d482990-9554-423e-b71d-27927399d8d5.jpeg,448394568,https://www.airbnb.com/users/show/448394568,Ada,07/03/2022,,,,,,f,https://a0.muscache.com/im/pictures/user/ea6ef145-414e-4754-9b33-0bdbab7bde2f.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/ea6ef145-414e-4754-9b33-0bdbab7bde2f.jpg?aki_policy=profile_x_medium,,2,2,"['email', 'phone']",t,t,,San Lorenzo,,40.860901,14.266075,Private room in bed and breakfast,Private room,2,1.0,1 private bath,1.0,1.0,"[""Smoke alarm"", ""Hot water"", ""Clothing storage: closet and wardrobe"", ""Exterior security cameras on property"", ""Safe"", ""Essentials"", ""Elevator"", ""Lock on bedroom door"", ""Breakfast"", ""Carbon monoxide alarm"", ""Bidet"", ""Heating"", ""Room-darkening shades"", ""Crib - available upon request"", ""Hair dryer"", ""Luggage dropoff allowed"", ""Elements shampoo"", ""Elements body soap"", ""Hangers"", ""Private patio or balcony"", ""Wifi"", ""Air conditioning"", ""Bed linens"", ""TV"", ""Coffee"", ""Dining table"", ""Shower gel"", ""Paid parking on premises"", ""First aid kit"", ""Hot water kettle"", ""Coffee maker: pour-over coffee""]",$119.00,1,28,1,1,28,28,1.0,28.0,,t,24,54,84,359,17/09/2024,3,0,0,10/04/2022,21/08/2022,5.0,5.0,5.0,5.0,5.0,4.67,5.0,IT063049C1LJP5OE8K,t,2,0,2,0,0.1
4422,5.98946e+17,https://www.airbnb.com/rooms/598946413908857021,20240900000000.0,17/09/2024,previous scrape,"Bed & Breakfast Casa Rubino, Camera Tripla","Casa Rubino is located in an exclusive location, a few meters from Piazza Carlo III, the eastern door of the historic center of Naples, and is very close to the most important tourist attractions of the city. A few steps from Casa Rubino is the taxi parking lot (in Piazza Carlo III) and the stops of the new Metro Line 1 Garibaldi and Museum. For those who come by car, there is the possibility to park it in the Garage just below the B&B.",,https://a0.muscache.com/pictures/miso/Hosting-598946413908857021/original/2db24ce5-97b8-4a02-b13c-0b3015b20cff.jpeg,448394568,https://www.airbnb.com/users/show/448394568,Ada,07/03/2022,,,,,,f,https://a0.muscache.com/im/pictures/user/ea6ef145-414e-4754-9b33-0bdbab7bde2f.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/ea6ef145-414e-4754-9b33-0bdbab7bde2f.jpg?aki_policy=profile_x_medium,,2,2,"['email', 'phone']",t,t,,San Lorenzo,,40.86042,14.26636,Private room in bed and breakfast,Private room,3,,1 private bath,1.0,,"[""Smoke alarm"", ""Hot water"", ""Exterior security cameras on property"", ""Safe"", ""Essentials"", ""Elevator"", ""Breakfast"", ""Carbon monoxide alarm"", ""Bidet"", ""Body soap"", ""Clothing storage"", ""Heating"", ""Room-darkening shades"", ""Hot water kettle"", ""Hair dryer"", ""Luggage dropoff allowed"", ""Patio or balcony"", ""Shampoo"", ""Hangers"", ""Wifi"", ""Air conditioning"", ""Bed linens"", ""TV"", ""Coffee"", ""Dining table"", ""Shower gel"", ""Paid parking on premises"", ""First aid kit"", ""Crib"", ""Coffee maker: pour-over coffee""]",,1,28,1,1,1125,1125,1.0,1125.0,,t,18,48,78,353,17/09/2024,0,0,0,,,,,,,,,,IT063049C1LJP5OE8K,t,2,0,2,0,
7274,9.57831e+17,https://www.airbnb.com/rooms/957831487580013355,20240900000000.0,17/09/2024,city scrape,Dai Cesari,"The house is logistically well connected, close to the exit of the ring road for those who arrive by car, 500 meters from the subway for those arriving by train. In 10 minutes walk you can reach the Vomero, an area full of shops, monuments and restaurants.  Nearby there are shops of all kinds: supermarkets, pizzerias, pharmacies, gyms... The kitchen is equipped with everything and in the bathroom you will find soaps, a hairdryer and shampoo.",,https://a0.muscache.com/pictures/miso/Hosting-957831487580013355/original/029b47c6-d113-4b20-8a76-d59cff753b3e.jpeg,531789270,https://www.airbnb.com/users/show/531789270,Ada,14/08/2023,,,,,,f,https://a0.muscache.com/defaults/user_pic-50x50.png?v=3,https://a0.muscache.com/defaults/user_pic-225x225.png?v=3,,1,1,"['email', 'phone']",f,t,,Arenella,,40.85369996,14.23481147,Entire rental unit,Entire home/apt,4,1.0,1 bath,2.0,4.0,"[""TV"", ""Host greets you"", ""Kitchen"", ""Paid parking on premises"", ""Wifi"", ""Air conditioning""]",$140.00,2,28,2,2,28,28,2.0,28.0,,t,30,60,90,238,17/09/2024,0,0,0,,,,,,,,,,,f,1,1,0,0,
8746,1.07964e+18,https://www.airbnb.com/rooms/1079636151155226872,20240900000000.0,17/09/2024,previous scrape,Camera Matrimoniale Superior-B&B Casa Salinas,Fall <br />in love with attention to detail at this stylish place. Breakfast included,,https://a0.muscache.com/pictures/miso/Hosting-1079636151155226872/original/5e903f5f-e312-437f-8933-1b4a834f4243.jpeg,559221867,https://www.airbnb.com/users/show/559221867,Adelaide,29/01/2024,,,,,,f,https://a0.muscache.com/im/pictures/user/User-559221867/original/6e1f5e94-c7f3-4e85-8451-9f9672d28c4a.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-559221867/original/6e1f5e94-c7f3-4e85-8451-9f9672d28c4a.jpeg?aki_policy=profile_x_medium,,3,5,"['email', 'phone']",t,t,,Vicaria,,40.8561,14.27466,Private room in bed and breakfast,Private room,3,,1 bath,1.0,,"[""Smoke alarm"", ""Hot water"", ""Exterior security cameras on property"", ""Extra pillows and blankets"", ""Body soap"", ""Clothing storage"", ""Fire extinguisher"", ""Hair dryer"", ""Shampoo"", ""Hangers"", ""Wifi"", ""Air conditioning"", ""Bed linens"", ""Pets allowed"", ""TV"", ""Shower gel"", ""Paid parking on premises"", ""First aid kit"", ""Conditioner""]",,1,365,1,1,365,365,1.0,365.0,,t,26,56,86,265,17/09/2024,0,0,0,,,,,,,,,,,t,3,0,3,0,
