,id,host_response_rate,host_acceptance_rate,host_listings_count,host_total_listings_count,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,last_scraped,name,description,neighborhood_overview,picture_url,host_name,host_since,host_about,host_response_time,host_is_superhost,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,property_type,room_type,bathrooms_text,amenities,calendar_updated,has_availability,calendar_last_scraped,last_review,license,instant_bookable
115,617137.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1511.6,1.0,1125,0,0,0,0.0,0.0,0.0,4.8,4.8,4.8,4.8,4.8,4.8,4.7,1.7,26/09/2024,Apt near Mexico City's downtown,SIN INFORMACION,SIN INFORMACION,https://a0.muscache.com/pictures/9187120/91a96265_original.jpg,Andoni,26/07/2012,Hi! Feel free to contact me if you have any inquiries about my listing. Thank you!,SIN INFORMACION,f,"['email', 'phone']",t,f,SIN INFORMACION,Shared room in rental unit,Shared room,1.5 shared baths,"[""Washer"", ""Wifi"", ""TV with standard cable"", ""Breakfast"", ""Kitchen""]",SIN INFORMACION,SIN INFORMACION,26/09/2024,SIN INFORMACION,SIN INFORMACION,f
258,3197924.0,1.0,1.0,3.0,8.0,1.0,1.5,2.0,2.0,640.0,2.0,365,30,60,364,0.0,0.0,0.0,4.8,4.8,4.8,4.8,4.8,4.8,4.7,1.7,26/09/2024,cuarto con terraza y uso general,"double bed , full bathroom, room with own terrace, PH new in colonia condesa, views of Trees in front of the Roof top, very ventilated, trees, new and complete kitchen, Roof Top private , parking place, Total Play spacious package included, wifi, dressing room, among the 3 best PH in condesa, 5 min walk to Parque MÃ©xico, super central in the heart of the countess, ecobici in front, all necessary services walking","Condesa is the main attraction in the city for its beautiful vegetation, restaurants, bars, parks, it is a small cosmopolitan town inhabiting foreigners from all over the world who have come to put their businesses or are digital nomads living with luxuries and services much more economical than in their countries",https://a0.muscache.com/pictures/miso/Hosting-3197924/original/b2ab187e-e8a7-49ca-9867-3954a1e41820.jpeg,Jordi,30/05/2014,muy bna persona espiritual deportista ,a few days or more,f,"['email', 'phone']",t,t,"Mexico City, Ciudad de MÃ©xico, Mexico",Shared room in loft,Shared room,1.5 shared baths,"[""Free parking on premises"", ""Washer"", ""TV"", ""Wifi"", ""Fire pit"", ""City skyline view"", ""Kitchen"", ""Outdoor dining area"", ""Dedicated workspace""]",SIN INFORMACION,t,26/09/2024,SIN INFORMACION,SIN INFORMACION,t
366,5434219.0,1.0,1.0,2.0,2.0,2.9,1.2,1.0,1.4,290.0,2.0,1125,28,55,360,34.0,6.0,2.0,4.44,4.74,4.47,4.74,4.71,4.71,4.59,0.3,26/09/2024,ã¡ã­ã·ã³ã·ãã£ã®é©å½è¨å¿µå¡ä»è¿ã®ãã¹ãã«ã§ãã,Single Room $30<br />Double room $60<br />Dormitory $15<br /><br />Public Transportation<br />30 minutes by taxi from the airport USD15.00 (MXN215.00)<br />As of February 2015<br /><br />Subway <br />Review 3min walk... see more<br /><br />ã¡ãã­ãã¹<br />PLAZA DE LA REPUBLICA å¾æ­©8å<br />BUENAVISTA 15,SIN INFORMACION,https://a0.muscache.com/pictures/67818853/31c70654_original.jpg,Tetsuo,22/02/2015,"DOMITORY 15USD PER PERSON
HABITACION SINGLE 30USD
HABITACION TWIN 45USD 

HOSTEL TRAVELSTATIONMEXICO",within a few hours,t,"['email', 'phone']",t,t,SIN INFORMACION,Shared room in guesthouse,Shared room,8 shared baths,"[""Iron"", ""Washer"", ""Wifi"", ""Refrigerator"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Long term stays allowed"", ""Shampoo"", ""Hot water"", ""TV"", ""Patio or balcony"", ""Kitchen"", ""BBQ grill"", ""Smoke alarm"", ""Free street parking"", ""Exterior security cameras on property"", ""Cooking basics"", ""Hair dryer"", ""Microwave""]",SIN INFORMACION,t,26/09/2024,17/09/2024,SIN INFORMACION,f
444,6972071.0,1.0,1.0,6.2,7.3,2.9,1.2,1.0,1.4,1093.1,1.0,1125,30,60,365,0.0,0.0,0.0,4.8,4.8,4.8,4.8,4.8,4.8,4.7,1.7,25/09/2024,SUPER SAVER GROUP DEAL - PERFECT FOR STUDENTS,"Welcome to the best college-style dorms in a Boutique concept!<br /><br />We have available 100 beds in 15 dormitories, parquet floors, high ceilings, large windows with balcony colonial style. We have designed every dorm in a special, spacious and bright way.<br /><br />We are a unique hostel that boasts a fantastically social and cozy atmosphere, fully redesigned lobby area, a friendly staff, and a fabulous location. We have a kitchen, Wifi, and luggage storage, which means staying with us is a great value.",SIN INFORMACION,https://a0.muscache.com/pictures/69006e16-60f7-4303-80c0-9fe96947d961.jpg,Thor,09/06/2015,"Welcome, Airbnbers!

I am from Norway and raised in U.S.A. and Mexico City. As a global traveler & entrepreneur, I understand my guest's travel needs.  My passion for hospitality is based on offering: Prime location + Complimentary Housekeeping & Affordable = THE PERFECT STAY.

5 stars hospitality 
âââââ

I look forward to welcome you!

Thor",within a few hours,f,"['email', 'phone']",t,t,SIN INFORMACION,Shared room in hostel,Shared room,4 shared baths,"[""Carbon monoxide alarm"", ""Washer"", ""Wifi"", ""TV with standard cable"", ""Fire extinguisher"", ""Kitchen"", ""First aid kit"", ""Smoking allowed"", ""Smoke alarm""]",SIN INFORMACION,t,25/09/2024,SIN INFORMACION,SIN INFORMACION,f
456,6076798.0,1.0,0.94,2.0,2.0,2.9,3.0,1.0,1.4,550.0,1.0,1125,0,0,267,85.0,9.0,0.0,4.85,4.84,4.93,4.94,4.91,4.69,4.93,0.75,25/09/2024,Nova House,"It has all the comforts to rest if you come for work or travel, has a terrace with hammocks which makes it special. It is located near the historic center, airport and terminals. You can get to know a traditional and cheap neighborhood.","The neighborhood is popular where you can experience the Mexican culture of its streets and mainly food shops, and if you stay more than 2 nights you can shop in the supermarket to save money.",https://a0.muscache.com/pictures/0831e2e6-16f3-4ea6-b11d-5fa49cb82fa7.jpg,Antonio,17/04/2015,SIN INFORMACIO,within a few hours,t,"['email', 'phone', 'work_email']",t,t,"Mexico City, Distrito Federal, Mexico",Shared room in home,Shared room,3 shared baths,"[""Carbon monoxide alarm"", ""Washer"", ""Wifi"", ""Backyard"", ""TV with standard cable"", ""Patio or balcony"", ""Smoking allowed"", ""Kitchen"", ""First aid kit"", ""Refrigerator"", ""Dishes and silverware"", ""Essentials"", ""Free street parking"", ""Exterior security cameras on property"", ""Cooking basics"", ""Microwave""]",SIN INFORMACION,t,25/09/2024,26/02/2024,SIN INFORMACION,t
480,6312611.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200.0,1.0,1125,28,58,363,0.0,0.0,0.0,4.8,4.8,4.8,4.8,4.8,4.8,4.7,1.7,25/09/2024,Sala de estar en DF,"Stay in our downtown brick apartment. It has a genuinely urban touch. At the moment I am not offering you a private room but it is ideal for you to sleep, bathe and make your belongings safe. Come on weekends and I give you an unforgettable tour! WELCOME.",We are close to everything! You can walk or bike to many sights. The subway and the subway bus are super close.,https://a0.muscache.com/pictures/78864685/fe533538_original.jpg,HÃ©ctor,27/04/2015,"Me gusta mucho la buena comida ya sea en algÃºn lugar de moda, en un mercado, puesto de la calle o en algÃºn lugar secreto. Disfruto mucho del cine, viajar, conocer gente nueva, el cafÃ©, la cerveza, el mezcal, bailar, la mÃºsica, los museos y el cine. Casi siempre ando en bici. ",SIN INFORMACION,f,"['email', 'phone']",t,t,"Mexico City, Distrito Federal, Mexico",Shared room in rental unit,Shared room,1 shared bath,"[""Wifi"", ""TV with standard cable"", ""Kitchen"", ""Essentials"", ""Shampoo""]",SIN INFORMACION,t,25/09/2024,SIN INFORMACION,SIN INFORMACION,f
537,7933584.0,1.0,0.97,1.0,2.0,2.9,1.2,1.0,1.4,300.0,1.0,1125,25,55,360,27.0,10.9,4.0,4.58,4.66,4.54,4.8,4.72,4.89,4.65,1.76,26/09/2024,Capsule Hostel Mexico City,"Unique concept in Mexico, inspired by the capsule hotels of Japan without losing the essence of a European hostel.We look for a way to have guests in shared rooms without losing their (URL HIDDEN) most of the rooms have climate","Attractives of Colonia JuÃ¡rez<br /> It has a total catalogue of 249 buildings of architectural magnificence and artistic interest; 31 of them recognized for their historical value and 218 for architectural value.<br /> It has the Tourist corridor of the Paseo de la Reforma, and concentrates a lot of boutiques, hotels, bars, restaurants, art galleries, cafes, ants, bookstores, art galleries and offices<br /> Its location is excellent, as it has a vast public transport system to access it: by four Metro stations (Chapultepec, Sevilla, Insurgentes and CuauhtÃ©moc) also the Metrobus on line one that goes through Avenida Insurgentes (Reforma, Hamburg and Insurgentes stations), or through the Ecobus that runs along Reforma.",https://a0.muscache.com/pictures/101080125/a915f139_original.jpg,Rafael,18/08/2015,"hola soy una muy responsable y dedicada, busco la excelencia en mi vida, me gusta dejar el nombre de mi paÃ­s en Alto, por tal motivo intento dar una experiencia inigualable a mis clientes.",within an hour,f,['phone'],t,t,"Mexico City, Distrito Federal, Mexico",Shared room in hostel,Shared room,5 shared baths,"[""Iron"", ""Carbon monoxide alarm"", ""Wifi"", ""Laundromat nearby"", ""Fire extinguisher"", ""Self check-in"", ""Essentials"", ""Shampoo"", ""Exterior security cameras on property"", ""Smoke alarm"", ""Building staff""]",SIN INFORMACION,t,26/09/2024,07/09/2024,SIN INFORMACION,f
931,11964525.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1093.1,1.6,34,30,60,365,0.0,0.0,0.0,4.8,4.8,4.8,4.8,4.8,4.8,4.7,1.7,25/09/2024,Cuarto con Tv y gran ubicaciÃ³n,"It is a room in the heart of South Rome, because of the location of the apartment you always see the best sunsets.<br />All amenities are available: Wifi +TV+Refrigerator one bed ( and an extra mattress) is steps from the metro and metrobus","There are two supermarkets that you can walk to, a shopping mall called Delta Park that you also walk to, and in general there are many restaurants and bars to visit in the area.",https://a0.muscache.com/pictures/15f8b547-f582-42b3-9e38-d6902c7c54bc.jpg,Eli Duarte,21/03/2016,"Hola! Me llamo Eli, trabajÃ© 5 aÃ±os en marketing digital en MÃ©xico, ahora estoy estudiando en Irlanda y me encanta la idea de viajar por el mundo.

Trabajo en proyectos relacionados a la educaciÃ³n el arte y periodismo.",SIN INFORMACION,f,"['email', 'phone']",t,t,"Mexico City, Distrito Federal, Mexico",Shared room in rental unit,Shared room,1 shared bath,"[""Iron"", ""Wifi"", ""TV with standard cable"", ""Kitchen"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Pets allowed"", ""Smoking allowed""]",SIN INFORMACION,t,25/09/2024,SIN INFORMACION,SIN INFORMACION,f
1063,13221271.0,1.0,1.0,6.2,7.3,2.9,1.0,1.0,1.4,1093.1,1.0,1125,28,58,363,0.0,0.0,0.0,4.8,4.8,4.8,4.8,4.8,4.8,4.7,1.7,25/09/2024,Boutique Hostel lifestyle. Cheap & Chic.,"Welcome, to the best value for groups of up to 28 guests. Unbeatable Location, near all points of interest: museums, historic monuments, shopping.<br /><br />Where love for art, culture, and hosting merge!","As the development of the historic center of Mexico City for decades impaired with respect to their economic, aesthetic and commercial, the building had exactly the same evolution over the years, was built between the eighteenth and nineteenth centuries , its original use in the early history home house money just as later spin as trade, warehouse and workshop which is then used as offices and training center.",https://a0.muscache.com/pictures/ca326a24-28cf-4ea2-821d-c8c5b8a9a90b.jpg,Thor,09/06/2015,"Welcome, Airbnbers!

I am from Norway and raised in U.S.A. and Mexico City. As a global traveler & entrepreneur, I understand my guest's travel needs.  My passion for hospitality is based on offering: Prime location + Complimentary Housekeeping & Affordable = THE PERFECT STAY.

5 stars hospitality 
âââââ

I look forward to welcome you!

Thor",within a few hours,f,"['email', 'phone']",t,t,"Ejido del Centro, Ciudad de MÃ©xico, Mexico",Shared room in hostel,Shared room,1 shared bath,"[""Dryer"", ""Washer"", ""Carbon monoxide alarm"", ""Wifi"", ""Fire extinguisher"", ""Kitchen"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Smoking allowed"", ""Smoke alarm"", ""Hangers""]",SIN INFORMACION,t,25/09/2024,SIN INFORMACION,SIN INFORMACION,f
1095,13293812.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,222.0,1.0,1125,30,60,89,2.0,0.0,0.0,4.5,4.9,4.5,4.5,4.5,5.0,5.0,0.02,25/09/2024,Cuarto para estudiantes FES ZARAGO,"Comfortable rooms (2) for students, two beds, half bathroom, study area, services included. Close to UNAM FES ZARAGOZA.<br /><br />On the ground floor there is an inexpensive kitchen. It offers delicious dishes at an affordable price.",SIN INFORMACION,https://a0.muscache.com/pictures/8538a3d8-184e-432b-8063-4c4b50706450.jpg,Alejandro,24/05/2016,SIN INFORMACIO,a few days or more,f,"['email', 'phone']",t,t,SIN INFORMACION,Shared room in home,Shared room,1 shared bath,"[""Wifi"", ""Essentials""]",SIN INFORMACION,t,25/09/2024,03/08/2019,SIN INFORMACION,t
