,id,host_response_rate,host_acceptance_rate,host_listings_count,host_total_listings_count,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,last_scraped,name,description,neighborhood_overview,picture_url,host_name,host_since,host_about,host_response_time,host_is_superhost,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,property_type,room_type,bathrooms_text,amenities,calendar_updated,has_availability,calendar_last_scraped,last_review,license,instant_bookable
48,281134.0,1.0,0.93,12.0,13.0,3.0,0.0,1.0,0.0,1511.6,1.0,365,14,33,312,7.0,0.0,0.0,4.71,4.71,5.0,5.0,5.0,5.0,4.86,0.06,26/09/2024,COOL PENT HOUSE APARTMENT @CONDESA,Amazing Pent House apartment in the heart fo Condesa,SIN INFORMACION,https://a0.muscache.com/pictures/5754595/e5ec9215_original.jpg,Fernando,09/08/2010,Condesa Haus  offers independent  studios and private rooms.,within an hour,t,"['email', 'phone', 'work_email']",t,t,SIN INFORMACION,Room in serviced apartment,Hotel room,1 private bath,"[""Iron"", ""Washer"", ""Wifi"", ""Host greets you"", ""Refrigerator"", ""Dishes and silverware"", ""Dishwasher"", ""Hangers"", ""Free parking on premises"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Backyard"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Dryer"", ""TV with standard cable"", ""Patio or balcony"", ""Kitchen"", ""Oven"", ""Smoke alarm"", ""Stove"", ""Free street parking"", ""Exterior security cameras on property"", ""Cooking basics"", ""Hair dryer"", ""Microwave""]",SIN INFORMACION,t,26/09/2024,05/10/2019,SIN INFORMACION,t
62,1565220.0,1.0,1.0,8.0,9.0,2.0,0.0,1.0,0.0,1511.6,1.0,1125,1,31,336,28.0,1.0,0.0,4.96,5.0,5.0,5.0,4.96,4.93,4.93,0.21,26/09/2024,Descansa en la Suite de la Abuelita San Angel CDMX,"Beautiful, spacious and calm independent Suite on ground floor, fully decorated with Mexican hands&crafts, with a comfortable kingsize bed, 800 threads sheets.  Small dinning room.  Bathroom with bathtub. Kitchennette.  <br />Free WiFi, complimentary full breakfast and daily cleaning.<br />Located inside our ArtistÂ´s Residence, our guests can enjoy our common spaces: dinning room, living rooms, roof deck with BBQ and fire pit (available upon request for you and your friends).","San Ãngel is a XVI century village nestled in the big Mexico City: its architecture is lovely and still preserve beautiful houses and gardens, and its safe to walk around its unique small alleys and secret spots.<br /><br />During the Viceroyalty in the XVI - XVIII centuries, San Angel was the perfect place for country homes to rest from the city. <br /><br />Walking distance, you will find several museums as the Carrillo Gil Modern Art Museum, the Diego Rivera and Frida Kahlo Studio Museum, the gorgeous Ex-Convento del Carmen Museum, the Mexican Revolutions Museum, la Casa del Risco or the Isidro Fabela House.<br /><br />You cannot miss the Bazaar del SÃ¡bado, on Saturdays... just 2 blocks away in Plaza San Jacinto, where local artists and all-around-the-country handcrafts market promenade is really enjoyable.<br /><br />Other nice neighborhoods as Coyoacan or Chimalistac, and the main campus of UNAM (National University) are close enough to visit plenty of cultural spots as the fantas",https://a0.muscache.com/pictures/28123464/f134b4b3_original.jpg,Martha Laura,01/06/2012,"We are a mexican couple who has been together for more than 25 years. We have two teenagers: a daughter, a son.
We are in the IT business and we love to travel. We always travel as if it was the last trip of our lives. For us, family, love and harmony are essential in life. We enjoy contemporary art and we are dedicated to promoting mexican artists and culture in every place we visit. 
Pancho and I met scuba diving in 1994, therefore the sea, nature and outdoor activities are basic and necessary. We enjoy camping, scuba diving and sailing, sport in which we compete every month in Acapulco.
Lunch time is a special moment for us, a pause where we can enjoy and celebrate being together, a moment apart from the rush of the city where we prepare ourselves for the afternoon daily commitments.
We love Mexico and we are ambassadors of our country, we always talk about how great is the mexican spirit, its culture, gastronomy, nature, beaches and its history. If we had to choose another country to live, it would be Italy for the same reasons we love Mexico.
We recognize ourselves as entrepreneurs because of our professional upbringing, we generate projects and ideas, some of which become business ventures. We've always been motivated by the risk, investing time, money and effort to develop new ideas with a purposeful end. Another factor deeply rooted in our family is ecology and self sustainability and seek to have the least possible impact on our environment and our planet .
We have a francophile part because the 4 of Pancho's grandparents were born in France and married in Mexico . With some friends, we spontaneously create an amateur theater group fifteen years ago, ""ThÃ©Ã¢tre a la DÃ©rive"", where we enjoy making plays in French just for the pleasure of the whole process, costumes, learning the script and friendship. The group is composed mainly by frenchies living in MÃ©xico.
Today what bring us here is that 14 years ago, on a sabathical year, we lived in a ""Chateau"" in France countryside, and we opened 11 rooms to host our beloved...  more than a hundred friends and family members came to visit and stayed with us in that 12th century castle. The uniqueness of this experience led us to replicate the model in Mexico, and we open our home with a project: Art Residence to share it with you, people with similar interests, that want to enjoy living among art in our village of San Angel,  town founded 500 years ago and today immersed in one of the largest and most exciting cities in the world: Mexico City. Welcome!

In our country we say to our guests: ""Mi casa es tu casa. My home is your home"".",within an hour,t,"['email', 'phone', 'work_email']",t,t,"Mexico City, DF, Mexico",Room in boutique hotel,Hotel room,1 private bath,"[""Shared patio or balcony"", ""Iron"", ""Outdoor furniture"", ""High chair"", ""Paid washer \u2013 In building"", ""HDTV with standard cable, Amazon Prime Video, Apple TV, Netflix"", ""Heating"", ""Fire pit"", ""Children\u2019s books and toys"", ""Refrigerator"", ""Dishes and silverware"", ""Self check-in"", ""Outdoor kitchen"", ""Hangers"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Breakfast"", ""Crib"", ""Long term stays allowed"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Luggage dropoff allowed"", ""Kitchen"", ""BBQ grill"", ""Outdoor dining area"", ""Paid parking off premises"", ""Smoke alarm"", ""Fast wifi \u2013 85 Mbps"", ""Fire extinguisher"", ""Pack \u2019n play/Travel crib"", ""Indoor fireplace: gas"", ""Paid dryer \u2013 In building"", ""Free street parking"", ""Exterior security cameras on property"", ""Dedicated workspace"", ""Cooking basics"", ""Hair dryer"", ""Building staff""]",SIN INFORMACION,t,26/09/2024,02/01/2024,SIN INFORMACION,f
75,1736063.0,1.0,1.0,8.0,9.0,2.0,0.0,1.0,0.0,1511.6,1.0,1125,17,47,352,58.0,8.0,0.0,4.88,4.84,4.97,4.89,4.93,4.96,4.86,0.45,26/09/2024,"CÃ³modo Estudio del BotÃ¡nico, San Angel CDMX","Small, very practical and beautiful independent studio on first floor, with a comfortable queensize bed, 800 threads sheets. Private Bathroom. Kitchennette.<br />Free WiFi, optional full breakfast and daily cleaning.<br />Located inside our ArtistÂ´s Residence, our guests can enjoy our common spaces: dinning room, living rooms, roof deck with BBQ and fire pit (available upon request for you and your friends).","San Ãngel is a XVI century village nestled in the big Mexico City: its architecture is lovely and still preserve beautiful houses and gardens, and its safe to walk around its unique small alleys and secret spots.<br /><br />During the Viceroyalty in the XVI - XVIII centuries, San Angel was the perfect place for country homes to rest from the city. <br /><br />Walking distance, you will find several museums as the Carrillo Gil Modern Art Museum, the Diego Rivera and Frida Kahlo Studio Museum, the gorgeous Ex-Convento del Carmen Museum, the Mexican Revolutions Museum, la Casa del Risco or the Isidro Fabela House.<br /><br />You cannot miss the Bazaar del SÃ¡bado, on Saturdays... just 2 blocks away in Plaza San Jacinto, where local artists and all-around-the-country handcrafts market promenade is really enjoyable.<br /><br />Other nice neighborhoods as Coyoacan or Chimalistac, and the main campus of UNAM (National University) are close enough to visit plenty of cultural spots as the fantas",https://a0.muscache.com/pictures/f967a935-84e2-4079-ba75-4ba35a6e8362.jpg,Martha Laura,01/06/2012,"We are a mexican couple who has been together for more than 25 years. We have two teenagers: a daughter, a son.
We are in the IT business and we love to travel. We always travel as if it was the last trip of our lives. For us, family, love and harmony are essential in life. We enjoy contemporary art and we are dedicated to promoting mexican artists and culture in every place we visit. 
Pancho and I met scuba diving in 1994, therefore the sea, nature and outdoor activities are basic and necessary. We enjoy camping, scuba diving and sailing, sport in which we compete every month in Acapulco.
Lunch time is a special moment for us, a pause where we can enjoy and celebrate being together, a moment apart from the rush of the city where we prepare ourselves for the afternoon daily commitments.
We love Mexico and we are ambassadors of our country, we always talk about how great is the mexican spirit, its culture, gastronomy, nature, beaches and its history. If we had to choose another country to live, it would be Italy for the same reasons we love Mexico.
We recognize ourselves as entrepreneurs because of our professional upbringing, we generate projects and ideas, some of which become business ventures. We've always been motivated by the risk, investing time, money and effort to develop new ideas with a purposeful end. Another factor deeply rooted in our family is ecology and self sustainability and seek to have the least possible impact on our environment and our planet .
We have a francophile part because the 4 of Pancho's grandparents were born in France and married in Mexico . With some friends, we spontaneously create an amateur theater group fifteen years ago, ""ThÃ©Ã¢tre a la DÃ©rive"", where we enjoy making plays in French just for the pleasure of the whole process, costumes, learning the script and friendship. The group is composed mainly by frenchies living in MÃ©xico.
Today what bring us here is that 14 years ago, on a sabathical year, we lived in a ""Chateau"" in France countryside, and we opened 11 rooms to host our beloved...  more than a hundred friends and family members came to visit and stayed with us in that 12th century castle. The uniqueness of this experience led us to replicate the model in Mexico, and we open our home with a project: Art Residence to share it with you, people with similar interests, that want to enjoy living among art in our village of San Angel,  town founded 500 years ago and today immersed in one of the largest and most exciting cities in the world: Mexico City. Welcome!

In our country we say to our guests: ""Mi casa es tu casa. My home is your home"".",within an hour,t,"['email', 'phone', 'work_email']",t,t,"Mexico City, Federal District, Mexico",Room in boutique hotel,Hotel room,1 private bath,"[""Shared patio or balcony"", ""Iron"", ""Outdoor furniture"", ""Wifi"", ""Paid washer \u2013 In building"", ""Heating"", ""Fire pit"", ""Children\u2019s books and toys"", ""Refrigerator"", ""Dishes and silverware"", ""Self check-in"", ""Resort access"", ""Outdoor kitchen"", ""Hangers"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Breakfast"", ""Crib"", ""Long term stays allowed"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Luggage dropoff allowed"", ""Pocket wifi"", ""Kitchen"", ""Shared backyard \u2013 Fully fenced"", ""BBQ grill"", ""Outdoor dining area"", ""Paid parking off premises"", ""Smoke alarm"", ""Fire extinguisher"", ""Pack \u2019n play/Travel crib"", ""Indoor fireplace: gas"", ""Paid dryer \u2013 In building"", ""Free street parking"", ""Exterior security cameras on property"", ""Dedicated workspace"", ""Cooking basics"", ""Hair dryer"", ""Building staff""]",SIN INFORMACION,t,26/09/2024,28/07/2024,SIN INFORMACION,f
100,571166.0,1.0,0.93,12.0,13.0,3.0,1.0,1.0,1.0,1872.0,1.0,365,0,0,253,1.0,0.0,0.0,4.8,5.0,5.0,5.0,4.9,5.0,4.8,0.01,26/09/2024,MODERN/HIP FURNISHED APARTMENT ( S1 Condesa Haus),"This is a one bedroom furnished apartment in the heart of the Condesa Neighborhood.<br /><br />All you need is to relax, and let us take care of you. The apartment has Wi fi Internet, Flat Cable TV , a fully equipped Kitchen w/utensils, living, a 4 seat dinning table and a small balcony . There is also a washer and dryer available. IF there are 3 guests we can add a twin bed in the living area, <br /><br />Services included. Wi fi internet, Cable TV and daily  house keeping 3 times a week for long stays .",SIN INFORMACION,https://a0.muscache.com/pictures/7058623/82999b0e_original.jpg,Fernando,09/08/2010,Condesa Haus  offers independent  studios and private rooms.,within an hour,t,"['email', 'phone', 'work_email']",t,t,SIN INFORMACION,Room in serviced apartment,Hotel room,1 bath,"[""Dryer"", ""Iron"", ""Washer"", ""Carbon monoxide alarm"", ""Wifi"", ""Free parking on premises"", ""TV with standard cable"", ""Exterior security cameras on property"", ""Hangers"", ""Fire extinguisher"", ""Host greets you"", ""Kitchen"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Cooking basics"", ""Smoke alarm"", ""Hair dryer""]",SIN INFORMACION,t,26/09/2024,08/02/2019,SIN INFORMACION,t
135,737328.0,1.0,1.0,19.0,21.0,2.0,1.0,1.0,1.0,1275.0,2.0,730,23,42,347,25.0,1.0,0.0,4.84,4.88,4.84,5.0,5.0,4.84,4.8,0.18,26/09/2024,Business Suite BEIGE near Reforma,SIN INFORMACION,"The area in which our service is located stands out for being the main commercial district of Mexico and having multiple tourist attractions. Cuenta con museos, bancos, oficinas trasnacionales, embajadas, parques, centros comerciales, cines y teatros. La zona es segura y con una alta demanda por ejecutivos y turistas. <br /><br />The area where our service is located is known as one of the main economic districts of Mexico and offers plenty of touristic sites as well. Youâll find museums, banks, parks, international office buildings, embassies, shopping malls, theaters, movie theaters, restaurants, and bars. The area is considered very safe and has a very high demand by business executives and tourists.",https://a0.muscache.com/pictures/10105792/ffafc0a8_original.jpg,Hermann,12/10/2012,"I am a 41 y/o architect responsible for the building and management of several Business Suites service. As owner, partner and architect, I can assure you I've made my best effort to design these spaces with the best materials, including a great design and making sure you receive the best of service.",within an hour,SIN INFORMACION,"['email', 'phone']",t,t,"Mexico City, Federal District, Mexico",Room in serviced apartment,Hotel room,1 bath,"[""Iron"", ""Washer"", ""Wifi"", ""Host greets you"", ""Hangers"", ""Free parking on premises"", ""Carbon monoxide alarm"", ""Breakfast"", ""Long term stays allowed"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Smoking allowed"", ""Dryer"", ""Luggage dropoff allowed"", ""TV with standard cable"", ""Kitchen"", ""Smoke alarm"", ""Fire extinguisher"", ""Cooking basics"", ""Hair dryer""]",SIN INFORMACION,t,26/09/2024,11/02/2024,SIN INFORMACION,t
158,865012.0,1.0,1.0,19.0,21.0,2.0,1.0,1.0,1.0,1275.0,2.0,730,24,44,345,31.0,0.0,0.0,4.97,4.97,4.94,5.0,5.0,4.97,4.97,0.22,26/09/2024,Business Suite RED near Reforma Av.,SIN INFORMACION,SIN INFORMACION,https://a0.muscache.com/pictures/12416374/df57c26b_original.jpg,Hermann,12/10/2012,"I am a 41 y/o architect responsible for the building and management of several Business Suites service. As owner, partner and architect, I can assure you I've made my best effort to design these spaces with the best materials, including a great design and making sure you receive the best of service.",within an hour,SIN INFORMACION,"['email', 'phone']",t,t,SIN INFORMACION,Room in serviced apartment,Hotel room,1 bath,"[""Iron"", ""Washer"", ""Wifi"", ""Host greets you"", ""Paid parking on premises"", ""Hangers"", ""Free parking on premises"", ""Carbon monoxide alarm"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Smoking allowed"", ""Dryer"", ""TV with standard cable"", ""Kitchen"", ""Smoke alarm"", ""Hair dryer"", ""Fire extinguisher"", ""Cooking basics"", ""Paid parking off premises""]",SIN INFORMACION,t,26/09/2024,01/01/2022,SIN INFORMACION,t
159,868843.0,1.0,1.0,19.0,21.0,2.0,1.0,1.0,1.0,1159.0,2.0,730,25,40,345,55.0,2.0,0.0,4.98,4.98,4.87,5.0,4.98,4.98,4.89,0.44,26/09/2024,Business Suite PURPLE near Reforma,SIN INFORMACION,SIN INFORMACION,https://a0.muscache.com/pictures/12479457/a401de21_original.jpg,Hermann,12/10/2012,"I am a 41 y/o architect responsible for the building and management of several Business Suites service. As owner, partner and architect, I can assure you I've made my best effort to design these spaces with the best materials, including a great design and making sure you receive the best of service.",within an hour,SIN INFORMACION,"['email', 'phone']",t,t,SIN INFORMACION,Room in serviced apartment,Hotel room,1 bath,"[""Iron"", ""Washer"", ""Wifi"", ""Dishes and silverware"", ""Self check-in"", ""Hangers"", ""Free parking on premises"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Smoking allowed"", ""Dryer"", ""Luggage dropoff allowed"", ""TV with standard cable"", ""Kitchen"", ""Smoke alarm"", ""Fire extinguisher"", ""Cooking basics"", ""Hair dryer"", ""Building staff""]",SIN INFORMACION,t,26/09/2024,18/02/2024,SIN INFORMACION,t
170,869063.0,1.0,1.0,19.0,21.0,2.0,1.0,1.0,1.0,1353.0,2.0,730,11,32,337,38.0,8.0,0.0,4.92,5.0,4.97,5.0,5.0,4.97,4.95,0.36,26/09/2024,Business Suite BLACK near Reforma,"Beautiful business suite facing our indoor patio. Fully equipped kitchen with refrigerator, cooker, microwave oven, blender, toaster, coffee machine and working bar. Living Ã¡rea, one queen size bed for one or two, balcony, large bathroom with shower.","We are located in the most developed area of Mexico City, close to museums, embassies,  international enterprises, malls, gyms, cinemas and all kinds of restaurants. This doesn't necessarilly mean you need to spend a lot of money to move around. You'll find inexpensive taco joints and small restaurants at walking distance. Other neighborhoods like Polanco, Condesa, Downtown and Santa Fe are located not so far away.",https://a0.muscache.com/pictures/12482950/80ecc074_original.jpg,Hermann,12/10/2012,"I am a 41 y/o architect responsible for the building and management of several Business Suites service. As owner, partner and architect, I can assure you I've made my best effort to design these spaces with the best materials, including a great design and making sure you receive the best of service.",within an hour,SIN INFORMACION,"['email', 'phone']",t,t,"Mexico City, Federal District, Mexico",Room in serviced apartment,Hotel room,1 bath,"[""Iron"", ""Washer"", ""Wifi"", ""Self check-in"", ""Hangers"", ""Free parking on premises"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Dryer"", ""Luggage dropoff allowed"", ""TV with standard cable"", ""Kitchen"", ""Smoke alarm"", ""Cooking basics"", ""Fire extinguisher"", ""Smoking allowed"", ""Hair dryer"", ""Building staff""]",SIN INFORMACION,t,26/09/2024,21/04/2024,SIN INFORMACION,t
214,2908932.0,1.0,0.98,6.2,7.3,4.0,1.0,1.0,3.0,1159.0,2.0,1125,0,0,266,4.0,0.0,0.0,4.5,5.0,5.0,4.5,5.0,5.0,4.75,0.06,26/09/2024,2 bedroom apt in Colonia Juarez,"Incredible apt, totally renovated: WIFI ,2 bedrooms, 1 bath, equipated kitchen, refrigerator, mocrowave, cleaning service once a week. Located in the incredible Colonia Juarez, an area with a lot of rentaurants, coffes and bars, only at 4 blocks of Reforma avenue,<br />2 of Colonia Roma, 2 of metro,  30 minutes walking ofCentro HistÃ³rico (downtown). One of the best and coolest areas to stay in the city.","Located in the very famous an cool Colonia Juarez, an area with a lot of historic buildings, a lot of restaurants, coffes and bars.",https://a0.muscache.com/pictures/36a5b68a-278a-4863-aaa8-0fb15af69be0.jpg,Suites,03/05/2012,"Hola, ofrezco hospedaje en 3 lugares muy cÃ©ntricos de la ciudad de MÃ©xico.
Me gusta que los huÃ©spedes puedan disfrutar de un ambiente cÃ³modo, cÃ©ntrico y privado con precios accesibles.",within an hour,f,"['email', 'phone']",t,t,"JuÃ¡rez, Ciudad de MÃ©xico, Mexico",Room in serviced apartment,Hotel room,1 private bath,"[""Iron"", ""TV"", ""Wifi"", ""Elevator"", ""Heating"", ""Kitchen"", ""Refrigerator"", ""Dishes and silverware"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Paid parking off premises"", ""Cooking basics"", ""Single level home"", ""Hangers"", ""Microwave""]",SIN INFORMACION,t,26/09/2024,30/08/2020,SIN INFORMACION,f
403,6810808.0,1.0,1.0,6.2,7.3,2.9,1.2,1.4,1.4,1093.1,1.0,1125,30,60,365,6.0,0.0,0.0,4.8,4.9,4.8,5.0,4.9,4.9,4.8,0.06,26/09/2024,â¯ MASTER SUITES PRIME LOCATION â¯,"Welcome to Mexico City! â  <br /><br />â It combines fully equipped Suites with a workspace, so you can work on success 24/7: Workspace for escaping the grind! â<br /><br />Special offer for groups:<br />â Weekly stay: 7th night free.<br />â Monthly stay: 4th week for free.<br /><br />Ultra-luxury Suites with one of the best facilities in Airbnb Mexico City: Fully equipped living and dining rooms with executive kitchen, all supplies included.","â¦ â§ Paseo de la Reforma is the most prestigious movement of the nation and is where the business center, embassies, prestigious shops, and high-class restaurants are located. There you will find many cafes and boutiques while walking through the ridges with gardens. â§ â¦<br /><br />What to do within 15 min walking distance:<br /><br />* Parque Mexico * Cinepolis movie complex * Reforma 222 shopping mall * Chapultepec park & zoo  * Anthropology museum * Angel Obelisque  * US Embassy * Polanco * Zona Rosa gay area with dozens of restaurants & bars.",https://a0.muscache.com/pictures/6afe90c8-7b1e-4848-aab1-9c92c3060e94.jpg,Thor,09/06/2015,"Welcome, Airbnbers!

I am from Norway and raised in U.S.A. and Mexico City. As a global traveler & entrepreneur, I understand my guest's travel needs.  My passion for hospitality is based on offering: Prime location + Complimentary Housekeeping & Affordable = THE PERFECT STAY.

5 stars hospitality 
âââââ

I look forward to welcome you!

Thor",within a few hours,f,"['email', 'phone']",t,t,"Mexico City, Distrito Federal, Mexico",Room in bed and breakfast,Hotel room,SIN INFORMACION,"[""Iron"", ""Washer"", ""Wifi"", ""Self check-in"", ""Resort access"", ""Hangers"", ""Free parking on premises"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""First aid kit"", ""Shared hot tub"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Luggage dropoff allowed"", ""TV with standard cable"", ""Kitchen"", ""EV charger"", ""Smoke alarm"", ""Shared pool"", ""Fire extinguisher"", ""Gym"", ""Hair dryer"", ""Building staff""]",SIN INFORMACION,t,26/09/2024,08/11/2021,SIN INFORMACION,t
