,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
622,13824924.0,https://www.airbnb.com/rooms/13824924,20240900000000.0,17/09/2024,city scrape,Intero appartamento Ampia  casa in centro storico,"Cozy apartment of 120 square meters located in the heart of the city, in the historic center, meeting place of young people and students. Ideal for a holiday (the house is close to the places of greatest artistic importance and public transportation) or for students, for the proximity to the university area.","A stone's throw :<br />veiled Christ, San Gregorio Armeno, Piazza GesÃ¹, underground Naples, a few steps  from   many  other enchanting places to visit",https://a0.muscache.com/pictures/57ea2404-3215-4496-a46b-05d12945cf77.jpg,81476465,https://www.airbnb.com/users/show/81476465,Vincenzo,03/07/2016,"Naples, Italy",,within an hour,100%,55%,f,https://a0.muscache.com/im/pictures/user/User-81476465/original/7bd58a9a-b070-4ba2-8a6a-19728e3b6b10.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-81476465/original/7bd58a9a-b070-4ba2-8a6a-19728e3b6b10.jpeg?aki_policy=profile_x_medium,,6,6,"['email', 'phone']",t,t,"Napoli, Campania, Italy",Porto,,40.84628,14.25647,Entire rental unit,Entire home/apt,5,2.0,2 baths,3.0,4.0,"[""Smoke alarm"", ""Hot water"", ""Mini fridge"", ""Laundromat nearby"", ""Smoking allowed"", ""Kitchen"", ""Essentials"", ""Coffee maker: Keurig coffee machine, Nespresso"", ""Ceiling fan"", ""Cooking basics"", ""Dedicated workspace"", ""Drying rack for clothing"", ""Iron"", ""Extra pillows and blankets"", ""Cleaning products"", ""Freezer"", ""Dryer"", ""Carbon monoxide alarm"", ""Bidet"", ""Body soap"", ""Clothing storage"", ""Heating"", ""Mosquito net"", ""Fire extinguisher"", ""Room-darkening shades"", ""Dishes and silverware"", ""Central air conditioning"", ""Private entrance"", ""Paid parking garage off premises"", ""Microwave"", ""Hair dryer"", ""Paid parking garage on premises"", ""Pocket wifi"", ""Host greets you"", ""Baking sheet"", ""Shampoo"", ""Hangers"", ""Wifi"", ""Refrigerator"", ""Bed linens"", ""Stove"", ""Ethernet connection"", ""TV"", ""Children\u2019s dinnerware"", ""Outlet covers"", ""Long term stays allowed"", ""Dining table"", ""Shower gel"", ""Single level home"", ""First aid kit"", ""Oven"", ""Toaster"", ""Conditioner"", ""Free washer \u2013 In unit"", ""Hot water kettle""]",$100.00,2,1125,2,2,1125,1125,2.0,1125.0,,t,8,36,66,341,17/09/2024,3,0,0,13/07/2016,19/08/2016,4.0,4.67,2.67,5.0,4.33,4.33,3.67,,f,5,2,3,0,0.03
3435,48355608.0,https://www.airbnb.com/rooms/48355608,20240900000000.0,17/09/2024,city scrape,Pako home,"Apartment located in the residential neighborhood of Fuorigrotta towards the border with bagnoli. The apartment is a 13-minute walk from Edenland's Cumana stop and 19 minutes from Bagnoli metro stop. Nearby is the Overseas exhibit, palapartenope, agnano racecourse, Diego Armando Maradona stadium, etc.",,https://a0.muscache.com/pictures/miso/Hosting-48355608/original/c2bbf8ed-52d2-4fa1-9b76-59572a9355f0.jpeg,269606818,https://www.airbnb.com/users/show/269606818,Pasquale,18/06/2019,"Naples, Italy",,within a day,70%,67%,f,https://a0.muscache.com/im/pictures/user/e779a02d-5423-4cd4-999d-84f06ba640cf.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/e779a02d-5423-4cd4-999d-84f06ba640cf.jpg?aki_policy=profile_x_medium,,2,3,"['email', 'phone']",t,f,,Bagnoli,,40.82481,14.17757,Private room in condo,Private room,2,1.0,1 shared bath,1.0,2.0,"[""Hot water"", ""Smoking allowed"", ""Kitchen"", ""Heating"", ""Wifi"", ""Pets allowed""]",$40.00,1,365,1,1,365,365,1.0,365.0,,t,3,33,63,337,17/09/2024,8,1,0,23/10/2022,02/07/2024,3.25,3.5,2.63,4.25,3.5,3.13,3.38,,f,2,0,2,0,0.34
5960,8.55804e+17,https://www.airbnb.com/rooms/855804139923997155,20240900000000.0,17/09/2024,city scrape,B&B interattivo - Naples'Secrets - Stanza Vulcania,"Naples' Secrets is the first interactive B&B that offers its guests an unforgettable experience.<br /><br />You will discover a city rich in history and mysteries thanks to interactive walls, themed rooms and augmented reality.<br /><br />Located in the heart of the historic center between P. Dante, P. del GesÃ¹ and Via Toledo.<br /><br />We offer more than 100 classic itineraries and alternative experiences to choose and book directly from the house.<br />In the interactive room see videos and download pdf guides to take with you around!","Located in the ""San Giuseppe"" district, B&B Nples' Secrets is located in the heart of the historic center of Naples. In the immediate vicinity of Piazza Dante, Piazza del GesÃ¹, Spaccanapoli, the Cloister of Santa Chiara and Via Toledo. In a diameter of 700 meters you will find all the most important attractions and museums such as the Sansevero Chapel, the underground Naples and San Gregorio Armeno.<br />The apartment is located in a building of the late 1800s, on the pedestrian island of the ancient historic center where the Greeks founded the city and where the urban design has remained the same. You will walk among the characteristic Decumani of ancient Neapolis full of shops of all kinds, bars, restaurants, crafts, souvenirs, musicians and street artists. Walking on Via Toledo, a very long street excellent for shopping, you will find the famous Spanish Quarters, full of life until late at night and at the end of the street the beautiful Royal Palace in Piazza del Plebiscito.<br />I",https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6ODU1ODA0MTM5OTIzOTk3MTU1/original/c00c42e8-1c44-4ddc-8736-96f840bf8728.png,53075597,https://www.airbnb.com/users/show/53075597,Adolfo,02/01/2016,,,within a few hours,90%,77%,f,https://a0.muscache.com/im/pictures/user/479e239f-178f-4344-b49e-b9e55d3c5d19.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/479e239f-178f-4344-b49e-b9e55d3c5d19.jpg?aki_policy=profile_x_medium,,4,8,"['email', 'phone']",t,t,"Napoli, Campania, Italy",San Giuseppe,,40.84627,14.25042,Private room in bed and breakfast,Private room,2,1.0,1 private bath,0.0,1.0,"[""Hot water"", ""Essentials"", ""Elevator"", ""Dedicated workspace"", ""Extra pillows and blankets"", ""AC - split type ductless system"", ""Freezer"", ""Breakfast"", ""Bidet"", ""Room-darkening shades"", ""Clothing storage: closet"", ""Theme room"", ""32 inch HDTV"", ""Paid parking garage off premises"", ""Hair dryer"", ""Luggage dropoff allowed"", ""Shampoo"", ""Hangers"", ""Wifi"", ""Refrigerator"", ""Bed linens"", ""Dining table"", ""Single level home"", ""First aid kit"", ""Alexa sound system"", ""Radiant heating"", ""Books and reading material""]",$90.00,2,30,2,2,30,30,2.0,30.0,,t,19,49,79,354,17/09/2024,2,0,0,16/04/2023,23/04/2023,3.5,3.0,2.5,2.5,4.0,4.5,3.5,,t,4,1,3,0,0.12
6946,9.32462e+17,https://www.airbnb.com/rooms/932461843286899935,20240900000000.0,17/09/2024,city scrape,"[Camera doppia] ""Rossa"" e ""Blu"" con vista giardino","Recently renovated, the Fair Rooms is located in a stately 900 building. It has four rooms each furnished with style and charm. Equipped with a balcony or balcony portion and large private bathroom for exclusive use only with a large shower cabin. It is a few meters from the Piazza Leopardi metro and only 10 minutes from the promenade of Mergellina. Located in the center of the Fuorigrotta neighborhood where there are all the commercial activities: supermarkets, pizzerias, pubs, banks, etc.","Among the recreational facilities in Fuorigrotta there are several attractions that have made it known in Neapolitan fun: the Overseas Exhibition, the Palapartenope, Il Maxicinema The Space, the Zoo; Virgin Active, the chain of major fitness centers in Europe and the Terme di Agnano complex.<br /><br />Among the historical sites and interest, it is a must to count: the tomb of Virgilio and Giacomo Leopardi whose remains now rest in Piedigrotta, the Roman thermal baths located in Via Terracina and rarely visitable, the 1789 Piperno stele still visible right in Piazza Pilastri which testifies to the establishment by King Ferdiando IV of a sanitary blocking place for wagons and animals used in the hemp and linen maceration in the Lake Agnano area of Lake Agnano.<br /><br />Fuorigrotta is home to the main Neapolitan sports facilities including: Stadio San Paolo, Pala Barbuto and Piscina Felice Scandone, the shooting range.<br /><br />There are also several educational and scientific struct",https://a0.muscache.com/pictures/miso/Hosting-932461843286899935/original/cd8e6ddf-62ec-4227-a08f-6e3554564c2f.jpeg,454518834,https://www.airbnb.com/users/show/454518834,Marco,16/04/2022,"Naples, Italy","Mi chiamo Marco Varriale sono un Property Manager e Superhost su Airbnb da un altro account principale.
Mi occupo di gestione appartamenti a uso turistico e amo molto viaggiare!",within an hour,100%,99%,f,https://a0.muscache.com/im/pictures/user/afd01894-a544-4dfa-9f79-5a9cfc59d79f.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/afd01894-a544-4dfa-9f79-5a9cfc59d79f.jpg?aki_policy=profile_x_medium,,15,16,"['email', 'phone']",t,t,"Napoli, Campania, Italy",Fuorigrotta,,40.82455,14.20041,Private room in rental unit,Private room,5,2.0,2 baths,2.0,3.0,"[""Hot water"", ""Mini fridge"", ""City skyline view"", ""Laundromat nearby"", ""Heating - split type ductless system"", ""Essentials"", ""Private living room"", ""Self check-in"", ""Dedicated workspace"", ""Drying rack for clothing"", ""Extra pillows and blankets"", ""AC - split type ductless system"", ""Keypad"", ""Lock on bedroom door"", ""Bidet"", ""Room-darkening shades"", ""Clothing storage: closet"", ""Free street parking"", ""Hair dryer"", ""Luggage dropoff allowed"", ""Hangers"", ""Private patio or balcony"", ""Wifi"", ""Bed linens"", ""TV"", ""Paid street parking off premises"", ""Outdoor furniture"", ""Dining table"", ""Single level home"", ""Outdoor dining area"", ""Coffee maker: pour-over coffee""]",$105.00,1,25,1,1,25,25,1.0,25.0,,t,30,39,39,39,17/09/2024,3,3,0,01/10/2023,17/06/2024,3.33,3.33,2.67,3.67,3.67,4.0,2.67,15063049EXT0141,t,10,4,6,0,0.25
7105,9.44662e+17,https://www.airbnb.com/rooms/944662495995613256,20240900000000.0,17/09/2024,city scrape,Licosia by Dimorra,"90sqm apartment in the center of Naples: a stone's throw from Porta Capuana and a 7-minute walk from the Central Station. Fully equipped kitchen, two bathrooms and two bedrooms with double bed, a third foldaway bed in the kitchen / living room! <br />The apartment is renovated, consists of an entrance hall, a large kitchen  <br />with TV, table and sofa, two bedrooms each with  <br />wardrobe and TV 42, two bathrooms with shower. Air conditioning. Wi-Fi",,https://a0.muscache.com/pictures/prohost-api/Hosting-944662495995613256/original/a8d188ca-2838-4b42-964a-6f5156a1e023.jpeg,128841116,https://www.airbnb.com/users/show/128841116,Dimorra,04/05/2017,,,within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/1104d182-c9cf-4724-8edd-a0aaf5b5aa8e.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/1104d182-c9cf-4724-8edd-a0aaf5b5aa8e.jpg?aki_policy=profile_x_medium,,119,142,"['email', 'phone']",t,t,,San Lorenzo,,40.85585,14.26844,Entire rental unit,Entire home/apt,6,2.0,2 baths,2.0,3.0,"[""Hot water"", ""Kitchen"", ""Essentials"", ""Elevator"", ""Self check-in"", ""Cooking basics"", ""Dedicated workspace"", ""Iron"", ""Extra pillows and blankets"", ""Heating"", ""Dishes and silverware"", ""Smart lock"", ""Hair dryer"", ""Shampoo"", ""Hangers"", ""Wifi"", ""Refrigerator"", ""Air conditioning"", ""Bed linens"", ""TV"", ""Long term stays allowed"", ""Oven""]",$85.00,1,1125,1,5,1125,1125,2.0,1125.0,,t,21,51,81,356,17/09/2024,4,2,0,27/08/2023,17/08/2024,3.25,4.5,2.5,3.5,4.75,2.75,3.5,15063049LOB2773.,t,111,90,21,0,0.31
7194,9.47572e+17,https://www.airbnb.com/rooms/947572288001746341,20240900000000.0,17/09/2024,city scrape,Wonderful Italy | Casa di Cami,"Elegant, finely furnished apartment in the Rione Alto area, in the Vomero district.","""When you go to Naples you cry twice: when you arrive and when you leave,"" they say. Naples is a unique city to be experienced by walking through the alleys, smelling the aroma of gastronomic delicacies in the air and admiring its rich artistic and monumental heritage.<br />Naples is the origin of a distinctive culinary tradition for its famous Neapolitan pizza, and the art of its pizza makers has been declared an intangible heritage of humanity by Unesco. <br />As you stroll through Spaccanapoli, the street that cuts the city in half, you pass through its thousand-year history thanks to the presence of ancient palaces and churches, such as the Duomo di Napoli and the Maschio Angioino. If there is a symbolic place in Naples, this is Piazza del Plebiscito, now a symbol of the new ""Neapolitan Renaissance"" where tourists come to admire its grandeur and two jewels: the neoclassical colonnade of the church of San Francesco di Paola and the Royal Palace. Today it is also possible to visit ""t",https://a0.muscache.com/pictures/prohost-api/Hosting-947572288001746341/original/6b1ada75-f56e-4a33-89bf-e3d5f98f8621.jpeg,487817566,https://www.airbnb.com/users/show/487817566,Wonderful Italy Campania,15/11/2022,,"Wonderful Italy is the largest Italian company of hospitality and experiences, in terms of number of directly-managed holiday homes and marketed tourist experiences. 

In addition to Campania, we are active in Sicily, Sardinia, Apulia, Liguria, Emilia-Romagna, Piedmont, Lake Garda, Lake Como and Venice, with an offer of over 2,000 homes and 350 experiences.",within an hour,97%,98%,f,https://a0.muscache.com/im/pictures/user/f15e9dff-5cef-4004-a4b5-a9076152cdd5.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/f15e9dff-5cef-4004-a4b5-a9076152cdd5.jpg?aki_policy=profile_x_medium,,134,152,"['email', 'phone']",t,t,"Napoli, Campania, Italy",Arenella,,40.8600013,14.219031,Entire rental unit,Entire home/apt,6,2.0,2 baths,2.0,2.0,"[""Hot water"", ""City skyline view"", ""Kitchen"", ""Essentials"", ""Elevator"", ""Cooking basics"", ""Iron"", ""Freezer"", ""Bidet"", ""Body soap"", ""Heating"", ""Clothing storage: closet"", ""Crib - available upon request"", ""Dishes and silverware"", ""Microwave"", ""Hair dryer"", ""Dishwasher"", ""Host greets you"", ""Shampoo"", ""Private patio or balcony"", ""Wifi"", ""Refrigerator"", ""Air conditioning"", ""Bathtub"", ""Bed linens"", ""Stove"", ""TV"", ""Outdoor furniture"", ""Dining table"", ""Shower gel"", ""Oven"", ""Free washer \u2013 In unit"", ""Hot water kettle""]",$94.00,1,28,1,3,2,28,1.9,25.1,,t,12,35,64,338,17/09/2024,4,2,0,22/08/2023,03/10/2023,3.25,3.75,2.75,3.5,2.75,3.5,3.5,,t,117,98,19,0,0.31
7841,1.01646e+18,https://www.airbnb.com/rooms/1016461536370415778,20240900000000.0,17/09/2024,city scrape,Plebiscito Central Apartment,The whole group will enjoy easy access to everything from this centrally located place.,Quiet neighborhood in the heart of Naples a few steps from Lungomare Caracciolo and Piazza Plebiscito,https://a0.muscache.com/pictures/hosting/Hosting-1016461536370415778/original/558b319a-1f90-40f3-a944-982b36d75ae9.jpeg,544688554,https://www.airbnb.com/users/show/544688554,Elizaveta,03/11/2023,,,within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/c11450ff-653b-43b9-bbdf-2bbad2ce2d96.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/c11450ff-653b-43b9-bbdf-2bbad2ce2d96.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,"Napoli, Campania, Italy",San Ferdinando,,40.83281,14.2451809,Entire rental unit,Entire home/apt,6,2.0,2 baths,2.0,4.0,"[""Paid parking lot off premises"", ""Hot water"", ""Kitchen"", ""Essentials"", ""Central heating"", ""Cooking basics"", ""Dedicated workspace"", ""Iron"", ""Cleaning products"", ""Freezer"", ""Dryer"", ""Bidet"", ""Body soap"", ""Clothing storage: closet"", ""Dishes and silverware"", ""Microwave"", ""Dishwasher"", ""Stainless steel single oven"", ""Wine glasses"", ""Hangers"", ""Wifi"", ""Refrigerator"", ""Gas stove"", ""Bathtub"", ""Bed linens"", ""TV"", ""Shower gel"", ""Window AC unit"", ""Coffee maker: french press"", ""Outdoor dining area"", ""Paid parking on premises"", ""Single level home"", ""Free washer \u2013 In unit"", ""Private backyard""]",$131.00,2,15,2,2,15,15,2.0,15.0,,t,9,29,59,59,17/09/2024,3,3,0,24/01/2024,12/06/2024,3.33,3.0,2.67,2.33,3.33,4.67,3.67,,t,1,1,0,0,0.38
8781,1.0878e+18,https://www.airbnb.com/rooms/1087801300835704215,20240900000000.0,17/09/2024,city scrape,Monolocale a 200 mt stazione,"Located in the heart of the historic center. Ground floor. 50 meters from San Gregorio Armeno,Pizzeria Da Michele and underground Naples. Latex pillows and toppers. Air conditioning. Italian assembly included. Possibility of the 3 single bed,and use of a washer and dryer is only allowed for stays longer than three nights.",,https://a0.muscache.com/pictures/miso/Hosting-1087801300835704215/original/80f0aad0-d2c2-42b0-938e-b9bae66e0627.jpeg,535650950,https://www.airbnb.com/users/show/535650950,Roberta,05/09/2023,"Naples, Italy",,,,100%,f,https://a0.muscache.com/im/pictures/user/User-535650950/original/1a443748-c03e-405c-a733-cff9ff5bab53.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-535650950/original/1a443748-c03e-405c-a733-cff9ff5bab53.jpeg?aki_policy=profile_x_medium,,1,2,['phone'],t,t,,Pendino,,40.84976457,14.26103084,Entire home,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""TV"", ""Kitchen"", ""Paid parking on premises"", ""Wifi"", ""Air conditioning"", ""Washer""]",$82.00,1,28,1,1,28,28,1.0,28.0,,t,24,54,84,264,17/09/2024,2,2,0,17/03/2024,20/05/2024,4.0,4.5,2.5,5.0,5.0,5.0,4.0,,t,1,1,0,0,0.32
9202,1.11287e+18,https://www.airbnb.com/rooms/1112865095864206666,20240900000000.0,17/09/2024,city scrape,A window with a garden,This place was thought for relaxing and for artists.<br />You can enjoy the little terrace and the amazing garden with the view of Naples.<br />Still in the center but like i. The country side you will expierience a unique place in Naples.<br />Fresh lemons and orange for you everyday!,,https://a0.muscache.com/pictures/88c7e97b-173c-4522-9313-71ae75aff4e8.jpg,6566657,https://www.airbnb.com/users/show/6566657,Stefania,25/05/2013,"Naples, Italy","I am an architect and designer of the Contemporary Jewellery. I live in Naples were I was born but I worked for ""Medicins sans frontier"" for the last ten years. Even if I lived in many countries all aronud the world I consider my city very fascinating so I have decided to live here in my city where I decide to ""grow"" my daugthers  and  my own vegetables , infact now I consider myself a ""urban farmer"" having 2000 sqm of land that I' ve been cultivating since 8 years now  .
When I have to cook I go in my land  and I return directly  in the kitchen to invent the dish of the day...this is life!!!!",within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/7fdb6bc6-d830-4344-b9cc-7cfa3743c110.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/7fdb6bc6-d830-4344-b9cc-7cfa3743c110.jpg?aki_policy=profile_x_medium,,3,3,['phone'],t,t,,San Carlo all'Arena,,40.86331,14.26143,Entire home,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Wine glasses"", ""Outdoor furniture"", ""Kitchen"", ""Essentials"", ""Hair dryer"", ""Hangers"", ""Dedicated workspace"", ""Bed linens"", ""Coffee"", ""Extra pillows and blankets""]",$70.00,1,365,1,1,365,365,1.0,365.0,,t,29,59,89,269,17/09/2024,2,2,0,01/04/2024,29/04/2024,4.0,3.5,2.5,5.0,5.0,4.0,2.5,,f,3,3,0,0,0.35
9611,1.14338e+18,https://www.airbnb.com/rooms/1143378541995170759,20240900000000.0,17/09/2024,city scrape,Vico Molino al Lavinaio 7,"Vico Molino al Lavinaio 7 is an apartment functional and bright, suitable for all types of travellers. <br />The apartment is located in Napoli on the first floor and consists of 2 rooms. <br />Vico Molino al Lavinaio 7 enjoys a strategic location.",,https://a0.muscache.com/pictures/prohost-api/Hosting-1143378541995170759/original/9c5543e8-8f00-4fcf-9c66-76f71fe56691.jpeg,272002545,https://www.airbnb.com/users/show/272002545,MyBnb,28/06/2019,"Naples, Italy","In MyBnb individuiamo i migliori metodi per rendere il tuo immobile redditizio, occupandoci di tutte le attivitÃ  legate alla gestione degli affitti di breve periodo (dal check-in e lâaccoglienza all'assistenza durante il soggiorno, comprese quelle piccole attenzioni che ti faranno ottenere il massimo in tutte le recensioni!).",within an hour,99%,100%,f,https://a0.muscache.com/im/pictures/user/2d323232-51de-49b6-bba4-5e0310fdfb0b.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/2d323232-51de-49b6-bba4-5e0310fdfb0b.jpg?aki_policy=profile_x_medium,,223,291,"['email', 'phone']",t,t,,Pendino,,40.84744172,14.2677423,Entire rental unit,Entire home/apt,4,1.0,1 bath,2.0,2.0,"[""Hot water"", ""Kitchen"", ""Essentials"", ""Coffee maker"", ""Dedicated workspace"", ""Drying rack for clothing"", ""Washer"", ""Iron"", ""Freezer"", ""Bidet"", ""Clothing storage"", ""TV with standard cable"", ""Heating"", ""Induction stove"", ""Dishes and silverware"", ""Hair dryer"", ""Patio or balcony"", ""Host greets you"", ""Wine glasses"", ""Baking sheet"", ""Shampoo"", ""Hangers"", ""Wifi"", ""Refrigerator"", ""Air conditioning"", ""Bathtub"", ""Bed linens"", ""Dining table"", ""Shower gel"", ""Oven"", ""Toaster"", ""Crib - always at the listing"", ""Hot water kettle""]",$78.00,1,365,1,3,365,365,2.0,365.0,,t,12,42,72,347,17/09/2024,3,3,0,12/05/2024,06/08/2024,3.33,3.67,2.67,4.67,4.33,3.0,3.33,,t,145,94,51,0,0.7
